Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
Mississippi Val.,11.7,42.1,65.0,12.03,69.8,5.4,34.3,14.4
SIUE,10.2,40.7,67.7,11.77,68.1,4.7,29.2,14.5
Northern Ariz.,13.8,40.7,68.4,11.97,69.3,7.5,32.1,14.5
Coppin St.,10.5,38.2,65.0,11.47,66.2,7.0,31.8,13.8
FIU,11.2,45.4,75.0,10.16,70.3,5.8,33.2,13.3
North Texas,11.3,42.3,64.6,10.00,69.2,6.2,32.0,13.7
Howard,9.0,39.0,65.7,12.35,63.7,5.1,29.1,14.7
Idaho St.,10.2,43.4,68.4,7.52,69.8,7.6,35.9,13.5
Southern Utah,11.5,40.6,74.1,11.61,77.5,8.8,35.7,13.7
Alabama St.,9.7,39.2,63.7,13.77,65.9,6.5,29.7,15.7
Longwood,10.8,44.5,73.0,7.27,67.3,6.2,32.7,15.2
Central Conn. St.,11.7,42.1,62.0,11.45,63.0,5.0,35.1,14.2
Ark.-Pine Bluff,10.4,40.3,65.2,10.47,61.8,6.5,33.5,18.1
Presbyterian,12.1,41.2,68.6,10.00,61.2,6.0,34.6,15.0
Bethune-Cookman,14.0,41.6,66.2,12.41,71.1,7.1,32.0,12.9
St. Francis Brooklyn,9.3,34.7,64.9,12.58,62.0,7.1,27.9,12.2
Florida A&M;,12.6,42.3,65.9,10.17,71.8,6.2,34.8,13.6
N.C. A&T;,11.0,42.4,68.1,10.88,64.3,6.3,32.8,14.6
Alabama A&M;,11.4,40.2,66.6,10.31,61.7,4.3,27.4,13.2
